tax_id,n_structures,domain,phylum,class,order,family,genus,species
623,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri
632,1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis
879,1,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Megalodesulfovibrio,Megalodesulfovibrio gigas
882,1,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Nitratidesulfovibrio,Nitratidesulfovibrio vulgaris
883,1,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Nitratidesulfovibrio,Nitratidesulfovibrio vulgaris
2164,1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp.
2177,1,Archaea,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus halophilus
2198,7,Archaea,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus marisnigri
2209,1,Archaea,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei
2234,11,Archaea,Methanobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus
2246,1,Archaea,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Haloferax,Haloferax volcanii
2269,5,Archaea,Thermoproteota,Thermoprotei,Thermofilales,Thermofilaceae,Thermofilum,Thermofilum pendens
2771,1,Eukaryota,Rhodophyta,Bangiophyceae,Cyanidiales,Cyanidiaceae,Cyanidium,Cyanidium caldarium
2788,1,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia yezoensis
2843,1,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema costatum
