step,element,n,r2,rmse,mae,residual_icc_protein,delta_r2
L0,1,241636,0.051256342240435,0.0715053002687131,0.056733894867762,0.525081039008443,
L1,1,241636,0.0519105791714165,0.0714807587700223,0.0567120001542132,0.525170313588748,0.00065423693098151
L2,1,241636,0.0545954827423264,0.0713797358855629,0.0566434403751544,0.524037891354585,0.00268490357090993
L3,1,241636,0.0699350461505162,0.0707960972902914,0.056097410287242,0.504707985585206,0.0153395634081898
L4,1,241636,0.0817356253340364,0.070345209100389,0.055791310733289,0.508113429802806,0.0118005791835202
L5,1,241636,0.0869428741783047,0.070145275137833,0.0556368401912851,0.508547360923996,0.00520724884426831
L6,1,241636,0.0869428741783047,0.070145275137833,0.0556368401912851,0.508547360923996,0
L0,16,1796,0.00026379131511049,1.36268003879053,1.13959257903762,0.309418679311016,
L1,16,1796,0.000264473322469436,1.36267961212725,1.1395919888676,0.309418679311016,6.82007358945489e-07
L2,16,1796,0.000264473270918688,1.36267961215938,1.13959198865127,0.309418680018361,-5.15507474489925e-11
L3,16,1796,0.0384517880686666,1.33642633698502,1.11203294612177,0.315909404124155,0.0381873147977479
L4,16,1796,0.0242858596722795,1.34621769156894,1.11777441828891,0.315457350954551,-0.0141659283963872
L5,16,1796,0.023250100826839,1.34705416280651,1.12276649752576,0.322265598410798,-0.0010357588454405
L6,16,1796,0.023250100826839,1.34705416280651,1.12276649752576,0.322265598410798,0
L0,6,147051,0.213456539359381,0.580521678189101,0.432554374633813,0.0115092106686986,
L1,6,147051,0.21345653898762,0.580521679154039,0.432542354296486,0.0115092106686986,-3.71761010864446e-10
L2,6,147051,0.457005586453574,0.482339808334996,0.35708029778512,0.0139146702742451,0.243549047465954
L3,6,147051,0.457751806615691,0.482007835617176,0.357035222861304,0.0118797451280805,0.000746220162117006
L4,6,147051,0.596551931289706,0.415762858420743,0.295457512926493,0.0168938020223401,0.138800124674014
L5,6,147051,0.621803657812108,0.402542521735002,0.277765079402083,0.0165065595212396,0.0252517265224023
L6,6,147051,0.621803657812108,0.402542521735002,0.277765079402083,0.0165065595212396,0
L0,7,41425,0.193430859111337,0.638124040129425,0.496238507602094,0.036042680662152,
L1,7,41425,0.193430838208458,0.638124082133857,0.496238485233102,0.036042680662152,-2.09028788167309e-08
L2,7,41425,0.221528277085494,0.626891221881111,0.488118751418039,0.0364586145578512,0.0280974388770363
L3,7,41425,0.242104899631612,0.618536203020453,0.479071233058629,0.0354380704093924,0.0205766225461175
L4,7,41425,0.245974868254518,0.616956277688424,0.477128196486283,0.0345168668462225,0.00386996862290617
L5,7,41425,0.247098472346879,0.616499968748494,0.476450838467949,0.0349297324050028,0.00112360409236081
L6,7,41425,0.247098472346879,0.616499968748494,0.476450838467949,0.0349297324050028,0
L0,8,43208,0.0393262973236036,2.36053918947537,1.94903437037565,0.0172893371856507,
L1,8,43208,0.0393262627240176,2.3605392318595,1.9490356090601,0.0172893371856507,-3.45995860018267e-08
L2,8,43208,0.0567246509658312,2.33906530096277,1.91135036614785,0.0174920220527839,0.0173983882418136
L3,8,43208,0.0641026100188866,2.32989862137844,1.90535187440877,0.0154842191683939,0.00737795905305541
L4,8,43208,0.0981940438475008,2.28705733058048,1.84974104588783,0.0158234689880091,0.0340914338286143
L5,8,43208,0.0990917314361853,2.28591653730441,1.84815475408966,0.015777529471701,0.000897687588684526
L6,8,43208,0.0990917314361853,2.28591653730441,1.84815475408966,0.015777529471701,0
