step,element,n,r2,rmse,mae,residual_icc_protein,fold
L0,1,79649,0.0483704250588255,0.070679875290547,0.056138797111456,0.520599099768712,fold_01
L0,16,611,-0.000504597173051069,1.39740056835411,1.18212760400164,0.31873036052006,fold_01
L0,6,48751,0.214723603390621,0.57817845653636,0.431437434881722,0.00996643157208761,fold_01
L0,7,13587,0.193073805820918,0.631095510746001,0.490929357080054,0.0332252996502116,fold_01
L0,8,14480,0.0433200428034798,2.35123844084261,1.9457115202417,0.0156180956182615,fold_01
L1,1,79649,0.0491506085547514,0.0706508962736893,0.0561119648604456,0.520715321064296,fold_01
L1,16,611,-0.000509337933273901,1.39740387905014,1.18212963058863,0.31873036052006,fold_01
L1,6,48751,0.214723434572536,0.578178518684525,0.43142667640062,0.00996643157208761,fold_01
L1,7,13587,0.193076454320684,0.631094475051723,0.490929299731367,0.0332252996502116,fold_01
L1,8,14480,0.0433200616035454,2.35123841774009,1.94571253101414,0.0156180956182615,fold_01
L2,1,79649,0.0525038749064649,0.070526207486314,0.0560265340720138,0.519362026364096,fold_01
L2,16,611,-0.000509337325477199,1.39740387862569,1.18212963055629,0.318730361841638,fold_01
L2,6,48751,0.456828837141557,0.480860369714025,0.355898031139594,0.0133562551885441,fold_01
L2,7,13587,0.218273454410974,0.621163050322756,0.484369531612587,0.0337170805304091,fold_01
L2,8,14480,0.0584456879498322,2.33257718841432,1.90924963444642,0.0159997384204087,fold_01
L3,1,79649,0.0629232150178712,0.0701373573877059,0.0556527633868529,0.50174012173199,fold_01
L3,16,611,0.0359230672768613,1.37172551590097,1.15828868379177,0.32503265034504,fold_01
L3,6,48751,0.457363352730175,0.480623712611105,0.35591084381915,0.0116241712442418,fold_01
L3,7,13587,0.237315552616731,0.613550944837415,0.475995542148441,0.0338289991010783,fold_01
L3,8,14480,0.0638062367818971,2.3259276825372,1.90538063152759,0.0150672034786765,fold_01
L4,1,79649,0.0752487632927228,0.0696745655865013,0.055341767200476,0.504617938190579,fold_01
L4,16,611,0.0226760531903293,1.38111754194455,1.16198053160828,0.320721156043889,fold_01
L4,6,48751,0.596669414715561,0.414363231912369,0.29511757234622,0.0156933406466621,fold_01
L4,7,13587,0.240248033839736,0.612370273429411,0.474261644284739,0.0329740732960338,fold_01
L4,8,14480,0.0946219008194639,2.28732737761239,1.85331954702839,0.01532149222052,fold_01
L5,1,79649,0.0800631462025437,0.0694929611984952,0.0551929900107839,0.505083614148325,fold_01
L5,16,611,0.000983238818404897,1.39636115464617,1.17534130654057,0.325309438101537,fold_01
L5,6,48751,0.619625163313859,0.402398657313888,0.277823719168173,0.0160778739669249,fold_01
L5,7,13587,0.240780909462787,0.612155483311204,0.473806856500345,0.0335066384067415,fold_01
L5,8,14480,0.094795546103581,2.28710802027494,1.8524128096525,0.0152976981869504,fold_01
L6,1,79649,0.0800631462025437,0.0694929611984952,0.0551929900107839,0.505083614148325,fold_01
L6,16,611,0.000983238818404897,1.39636115464617,1.17534130654057,0.325309438101537,fold_01
L6,6,48751,0.619625163313859,0.402398657313888,0.277823719168173,0.0160778739669249,fold_01
L6,7,13587,0.240780909462787,0.612155483311204,0.473806856500345,0.0335066384067415,fold_01
L6,8,14480,0.094795546103581,2.28710802027494,1.8524128096525,0.0152976981869504,fold_01
L0,1,81506,0.0446231924827862,0.0743504799953057,0.0588979941575239,0.557992550804468,fold_02
L0,16,593,0.00634635166685649,1.32897334512695,1.1012632032767,0.323659734175073,fold_02
L0,6,49561,0.213883890467358,0.582580087619614,0.43346948543965,0.0121483780773425,fold_02
L0,7,13991,0.183739322330847,0.6378638014069,0.495423365873455,0.0400988905642276,fold_02
L0,8,14597,0.0409511564042564,2.35405385740391,1.94637460302406,0.0180850858181009,fold_02
L1,1,81506,0.0450925543268318,0.0743322141313565,0.058877408209675,0.558084594464618,fold_02
L1,16,593,0.00634649628221495,1.32897324841822,1.10126313208675,0.323659734175073,fold_02
L1,6,49561,0.213882726384171,0.58258051896266,0.433456830548256,0.0121483780773425,fold_02
L1,7,13991,0.183743710183157,0.637862086969348,0.495422395677174,0.0400988905642276,fold_02
L1,8,14597,0.0409509480877005,2.35405411306782,1.94637640499985,0.0180850858181009,fold_02
L2,1,81506,0.0473364418371809,0.0742448280566187,0.0588109281441496,0.556899699216037,fold_02
L2,16,593,0.006346496902224,1.3289732480036,1.10126313108741,0.323659735552571,fold_02
L2,6,49561,0.458951425471953,0.483315159191284,0.357082384199663,0.0141461153626865,fold_02
L2,7,13991,0.211199831968078,0.627042555759107,0.486369226176769,0.04045711176769,fold_02
L2,8,14597,0.0590266817648379,2.33176450027838,1.90725420819948,0.0184360398639954,fold_02
L3,1,81506,0.0663811895493928,0.0734989654459168,0.0581472882856364,0.538580444854829,fold_02
L3,16,593,0.0497486113611624,1.29962486311398,1.07397077650191,0.326542073285741,fold_02
L3,6,49561,0.460016178656711,0.482839356453585,0.356859266330055,0.0120903515230166,fold_02
L3,7,13991,0.231062858677271,0.619097340571468,0.477144334235449,0.0382597809232197,fold_02
L3,8,14597,0.0684853611700206,2.32001543252972,1.90017040683422,0.0158704174754393,fold_02
L4,1,81506,0.078689484899415,0.0730128739230692,0.0578057284273843,0.542779061607042,fold_02
L4,16,593,0.0311210737928596,1.31230115079435,1.08556295523594,0.335509896814637,fold_02
L4,6,49561,0.599869972453198,0.415635716548689,0.295326748778716,0.0159815160706958,fold_02
