variant,element,n,pearson,spearman,r2,rmse,mae
atom_interaction_proxy,1,241636,0.327829773772943,0.316088471976112,0.10660658803095524,0.06948187270011168,0.055047902279412954
atom_interaction_proxy,6,147051,0.7916740167191664,0.7955097149166854,0.6267344830125539,0.3999238595439411,0.27379228202815475
atom_interaction_proxy,7,41425,0.4995260444745846,0.4300128850911508,0.24932718778316654,0.6157681351086874,0.474935352601309
atom_interaction_proxy,8,43208,0.3305566517191568,0.27712948925306086,0.10919823053806998,2.2730897529212832,1.828450127969664
atom_interaction_proxy,16,1796,0.2014700529364695,0.18653054497537216,0.03591898524434789,1.339724303547341,1.1148152947387138
identity_proxy,1,241636,0.28062805219465936,0.2711733081867047,0.07845841302423417,0.07056796793515,0.05600033601489749
identity_proxy,6,147051,0.7888071743910943,0.7854140105917211,0.62221641296755,0.4023369529883797,0.27770432398957523
identity_proxy,7,41425,0.49249876965619077,0.42522647174802836,0.24255030832493918,0.618541387631152,0.47768471118581896
identity_proxy,8,43208,0.3229170427148413,0.2676034957437895,0.10425598750682152,2.279386677463137,1.8408792827022709
identity_proxy,16,1796,0.13304382476277826,0.12563630974438203,0.013073564091474088,1.3555048057888295,1.1354242967166532
proxy_only,1,241636,0.22574065974736943,0.2185820749191557,0.05061754895065018,0.07162600723456347,0.05689408721665945
proxy_only,6,147051,0.7735513542091371,0.7656553612284269,0.5983816710677949,0.4148347620906365,0.29381419197602376
proxy_only,7,41425,0.464753144860664,0.37794199987318494,0.21599429708635398,0.6292909391828923,0.4857278823507521
proxy_only,8,43208,0.3119981806382173,0.2541933253725713,0.0973401080485039,2.288169126742193,1.856324491739437
proxy_only,16,1796,0.1316214324923531,0.12335380100354618,0.0129358601389572,1.3555993679831606,1.1346974136422097
