step,element,n,r2,rmse,mae,residual_icc_protein,delta_r2
L0,1,241636,0.101917516978275,0.946258445269119,0.745454557796859,0.00207467836278908,
L1,1,241636,0.103927597570078,0.945199007379904,0.744527733377963,0.00188198501228667,0.00201008059180291
L2,1,241636,0.108286294479038,0.942897469658854,0.743296072224349,0.00179150466293628,0.00435869690895975
L3,1,241636,0.108661289743468,0.942699299654335,0.74311625175879,0.00184739715557154,0.000374995264430647
L4,1,241636,0.129940806084604,0.931378875985107,0.736121620396499,0.00148988859007918,0.0212795163411357
L5,1,241636,0.136192268389151,0.928026840039664,0.7339728809345,0.00146620590852451,0.00625146230454635
L6,1,241636,0.136192268389151,0.928026840039664,0.7339728809345,0.00146620590852451,0
L0,16,1796,0.00957193235120723,1.78987519922537,1.20309478279343,0.834766295009142,
L1,16,1796,0.00957348972247121,1.78987401076998,1.20307556897516,0.834766295009142,1.55737126397888e-06
L2,16,1796,0.00957348844271769,1.78987401177917,1.2030755780572,0.834766288235393,-1.27975351843501e-09
L3,16,1796,0.0567494925808816,1.74582103602731,1.20790388585133,0.799176809288303,0.0471760041381639
L4,16,1796,0.039615139723293,1.76141482398549,1.22765758981974,0.788738192736309,-0.0171343528575887
L5,16,1796,0.0468576118301196,1.75488285121934,1.22672252138756,0.792642894890773,0.00724247210682665
L6,16,1796,0.0468576118301196,1.75488285121934,1.22672252138756,0.792642894890773,0
L0,6,147051,0.20966037693493,0.886831254574917,0.659461764607918,0.00945088029313083,
L1,6,147051,0.209660296184275,0.886831299346269,0.659443648537871,0.00945088029313083,-8.07506549960202e-08
L2,6,147051,0.458606640285645,0.733990358716764,0.543848572362319,0.00610002776028093,0.24894634410137
L3,6,147051,0.459251343476668,0.733553136290209,0.543957601728734,0.00479557464223783,0.000644703191022777
L4,6,147051,0.602733921904401,0.628743825073783,0.446356685580018,0.0063784472965481,0.143482578427733
L5,6,147051,0.628042552371122,0.60838786243591,0.418979739094973,0.00535351679431278,0.0253086304667213
L6,6,147051,0.628042552371122,0.60838786243591,0.418979739094973,0.00535351679431278,0
L0,7,41425,0.17993797825495,0.897659501964822,0.704154090880628,0.0103230068890961,
L1,7,41425,0.17993787972433,0.897659554881968,0.704153470977524,0.0103230068890961,-9.85306201628511e-08
L2,7,41425,0.203958282587176,0.884411556707553,0.693424700548255,0.00971415836616892,0.0240204028628455
L3,7,41425,0.226406143144739,0.871846470337766,0.68073854714435,0.00874097995864628,0.0224478605575638
L4,7,41425,0.230729540154775,0.869406631064922,0.678162622212527,0.00833518902399369,0.0043233970100357
L5,7,41425,0.232123023498658,0.868619578185088,0.677122877689108,0.00840475288169113,0.00139348334388262
L6,7,41425,0.232123023498658,0.868619578185088,0.677122877689108,0.00840475288169113,0
L0,8,43208,0.0378239710798547,0.972696372137555,0.803029689346059,0.00131173796439515,
L1,8,43208,0.0378239687593366,0.972696373339539,0.803030324901671,0.00131173796439515,-2.32051812487644e-09
L2,8,43208,0.0555154111800489,0.963713238847919,0.788017770313784,0.00130047450141797,0.0176914424207123
L3,8,43208,0.0594917532000386,0.961681965443517,0.786748343725829,0.00220911985785027,0.00397634201998967
L4,8,43208,0.0937338695348255,0.944014586127813,0.765108303695165,0.0023408540886601,0.034242116334787
L5,8,43208,0.0944979240483677,0.943616278007346,0.764607484455733,0.00233592026550408,0.000764054513542126
L6,8,43208,0.0944979240483677,0.943616278007346,0.764607484455733,0.00233592026550408,0
