element,nominal,empirical,n,mean_width
1,0.5,0.565184206663731,545040,12.045117899755
16,0.5,0.728484332907982,7053,155.815300104511
6,0.5,0.682533609620143,358082,63.8207712526445
7,0.5,0.587991438783144,96248,68.667666039145
8,0.5,0.719633983410067,104039,93.31004347392
1,0.8,0.622334140613533,545040,22.8860997474206
16,0.8,0.76790018431873,7053,296.053930733101
6,0.8,0.7694438703984,358082,121.261456218294
7,0.8,0.660928019283518,96248,130.470707507678
8,0.8,0.832514730053153,104039,177.291993333143
1,0.9,0.707252678702481,545040,29.3739910187078
16,0.9,0.805756415709627,7053,379.981106365114
6,0.9,0.824071022838344,358082,155.637394103076
7,0.9,0.748857119108969,96248,167.457340168542
8,0.9,0.881861609588712,104039,227.55180993404
1,0.95,0.809718552766769,545040,35.0012691315109
16,0.95,0.851268963561605,7053,452.775414832264
6,0.95,0.87118592947984,358082,185.453393597736
7,0.95,0.834043304795944,96248,199.537728038154
8,0.95,0.916483241861225,104039,271.144705388901
