element,block,n,r2_full,r2_without,delta_r2
1,all_proxy_vs_L4,545040,-0.523131544853407,-0.519444515542927,-0.00368702931048019
1,ring,545040,-0.523131544853407,-0.523588513042212,0.000456968188805034
1,field_charge,545040,-0.523131544853407,-0.519010032078437,-0.00412151277497018
6,all_proxy_vs_L4,358082,0.107931718655486,0.243208787449941,-0.135277068794455
6,ring,358082,0.107931718655486,0.109048953192077,-0.00111723453659098
6,field_charge,358082,0.107931718655486,0.243108244231121,-0.135176525575635
7,all_proxy_vs_L4,96248,-0.382548289975386,-0.391610316900894,0.00906202692550752
7,ring,96248,-0.382548289975386,-0.38200260600831,-0.000545683967075876
7,field_charge,96248,-0.382548289975386,-0.392303677190239,0.0097553872148533
8,all_proxy_vs_L4,104039,0.254220745371771,0.302337657330402,-0.0481169119586306
8,ring,104039,0.254220745371771,0.254610979092407,-0.000390233720636027
8,field_charge,104039,0.254220745371771,0.300987588908078,-0.0467668435363073
16,all_proxy_vs_L4,7053,0.262556282722905,0.263999880280263,-0.0014435975573585
16,ring,7053,0.262556282722905,0.263513656374053,-0.000957373651148394
16,field_charge,7053,0.262556282722905,0.261848815354849,0.000707467368055538
