step,element,n,r2,rmse,mae,residual_icc_protein,delta_r2
L0,1,545040,0.0936254487765338,8.97130311470873,8.29855681127192,0.112316670477295,
L1,1,545040,0.87746694131481,3.29845798873804,2.5860363492509,0.0241772274613886,0.783841492538277
L2,1,545040,-0.512767285229465,11.5901134066267,7.97926581861813,0.589605378791691,-1.39023422654428
L3,1,545040,-0.512571809151068,11.589368750455,7.96887760034428,0.593963053419685,0.000195476078396872
L4,1,545040,-0.519444515542927,11.6156621108147,7.83086964888715,0.620365787654853,-0.00687270639185855
L5,1,545040,-0.523131544853407,11.6297406311243,7.76840101938966,0.641428379936959,-0.00368702931048026
L6,1,545040,-0.459296909696848,11.3754803792996,7.7406552404947,0.645391959637703,0.0638346351565585
L0,16,7053,0.0919390768334349,145.602040829958,110.896657461343,0.259428912664038,
L1,16,7053,0.723769820576967,80.3023060810261,59.2450514323697,0.231364839415371,0.631830743743532
L2,16,7053,0.186556531465417,137.806073332541,90.1139542624744,0.476306879255444,-0.53721328911155
L3,16,7053,0.255308324672404,131.856706289762,83.7518537404496,0.540130011578477,0.0687517932069871
L4,16,7053,0.263999880280263,131.084712417497,81.7518327960123,0.566873103450034,0.00869155560785872
L5,16,7053,0.262556282722905,131.210913021323,81.5503736520772,0.571827799967171,-0.00144359755735846
L6,16,7053,0.263651301239295,131.112265031743,81.3213806162886,0.576045381888946,0.00109501851639027
L0,6,358082,0.174510690730881,50.814676815472,43.7282610467549,0.0200069012926198,
L1,6,358082,0.530299044655088,38.3305397074038,31.3573913864937,0.00735632076057872,0.355788353924207
L2,6,358082,-0.0200615603064713,56.4863690626324,44.1290755155995,0.396118836888213,-0.550360604961559
L3,6,358082,-0.0199998148604206,56.4844987863287,43.9521198476408,0.404847264853776,6.17454460507677e-05
L4,6,358082,0.243208787449941,48.6021327442147,38.9021115896557,0.371962077742343,0.263208602310361
L5,6,358082,0.107931718655486,52.791361224183,34.4669078682242,0.687576831725703,-0.135277068794455
L6,6,358082,0.0928713154262275,53.2408513557011,34.405686722178,0.696623282177039,-0.0150604032292582
L0,7,96248,0.0968599874515116,52.011935746636,45.4235680618298,0.0885766734725766,
L1,7,96248,0.781427286229922,25.5873102575329,19.6757277614242,0.0418538771323467,0.68456729877841
L2,7,96248,-0.391287398559497,64.5553517873209,45.1486139939185,0.395389669130004,-1.17271468478942
L3,7,96248,-0.393340107732775,64.6024471993552,44.0617602371159,0.522212819195597,-0.00205270917327788
L4,7,96248,-0.391610316900894,64.5625523932982,43.947396508892,0.52500703268501,0.00172979083188091
L5,7,96248,-0.382548289975386,64.3516587455041,43.090042610228,0.564371937218672,0.00906202692550756
L6,7,96248,-0.382043120897349,64.3401320451981,42.9093014682326,0.574574773161362,0.000505169078036827
L0,8,104039,0.228287179756236,70.7622214662207,51.4804729541189,0.039952999168981,
L1,8,104039,0.241412710126148,70.1578404794171,51.0579898121646,0.0396854396787432,0.0131255303699121
L2,8,104039,0.259689846590348,69.3072116075462,48.5663199247506,0.1629836024983,0.0182771364642003
L3,8,104039,0.25939898774358,69.3208310251829,48.3033779655709,0.181936316235229,-0.000290858846768605
L4,8,104039,0.302337657330402,67.2809179037965,44.2900603600742,0.280270898274522,0.042938669586822
L5,8,104039,0.254220745371771,69.5620980268799,43.4988474025009,0.410354525047661,-0.0481169119586306
L6,8,104039,0.252616262828952,69.6366131144931,43.292261725989,0.413678803112174,-0.00160448254281897
