step,element,n,r2,rmse,mae,residual_icc_protein,fold
L0,1,181053,0.0906077062998882,8.97844186856292,8.28791992936281,0.108086339735384,fold_01
L0,16,2368,0.0978360771596988,145.831647072574,110.35829615488,0.273870965808612,fold_01
L0,6,119282,0.17860431729647,50.7249812038195,43.6195385195118,0.0189969431754255,fold_01
L0,7,31910,0.10195272085385,51.7587605405154,45.1595550220572,0.0818379352657456,fold_01
L0,8,34811,0.229007772246689,70.7482480612817,51.5936808397861,0.0363434210613417,fold_01
L1,1,181053,0.874772029606392,3.33177765543807,2.61554266563543,0.0211691487363907,fold_01
L1,16,2368,0.729087841147335,79.9140795320668,59.0497679392352,0.246230501433451,fold_01
L1,6,119282,0.530847672007296,38.335631760022,31.3695707390733,0.00641451235579591,fold_01
L1,7,31910,0.780536373312794,25.5867745778792,19.5937032490714,0.0350433268284617,fold_01
L1,8,34811,0.242279194341235,70.1366948352055,51.149327365141,0.0360723027868716,fold_01
L2,1,181053,-0.518230886085815,11.6009686036438,7.96107749153518,0.587571321755185,fold_01
L2,16,2368,0.177642737297703,139.23208254991,90.641828900087,0.501235823409283,fold_01
L2,6,119282,-0.00923207153238881,56.2265204730606,43.8854831384485,0.391654211006719,fold_01
L2,7,31910,-0.370039084253903,63.9294172315302,44.5890515782692,0.377630198741187,fold_01
L2,8,34811,0.25411017948273,69.58698656746,48.986461318674,0.179752385839598,fold_01
L3,1,181053,-0.517436771720621,11.5979342493593,7.95124119514781,0.591245262186193,fold_01
L3,16,2368,0.252766392302135,132.720268386293,83.7821757244125,0.554947027919396,fold_01
L3,6,119282,-0.0075952348707653,56.1809060997905,43.7277821604129,0.398659673794904,fold_01
L3,7,31910,-0.365782251382433,63.8300227816857,43.4239066898669,0.503668528633659,fold_01
L3,8,34811,0.252920779733222,69.6424463507472,48.7506566391378,0.200027321608909,fold_01
L4,1,181053,-0.525511815096937,11.628752521178,7.81612305805792,0.616933307028343,fold_01
L4,16,2368,0.264569885498356,131.667854138243,81.5832654097401,0.578600127061869,fold_01
L4,6,119282,0.141414401137241,51.8605939936186,38.3812560640156,0.508968909766116,fold_01
L4,7,31910,-0.36479463131142,63.8069403276644,43.3145350668527,0.507609402728139,fold_01
L4,8,34811,0.294678802207145,67.6681273656718,44.6287403630809,0.300080116549434,fold_01
L5,1,181053,-0.529556084620868,11.6441567547405,7.75341235368812,0.639736844757158,fold_01
L5,16,2368,0.261397638417761,131.951520466271,81.4270259773178,0.575713341445196,fold_01
L5,6,119282,0.0241280898965555,55.2894278147221,34.5040446683668,0.719702042707335,fold_01
L5,7,31910,-0.353216559404227,63.5357146040329,42.3854575566466,0.546709857674335,fold_01
L5,8,34811,0.244544981835944,70.0317526043088,43.8322881686622,0.426491042936464,fold_01
L6,1,181053,-0.304866382335715,10.7549491541423,7.59672492918222,0.643059819249478,fold_01
L6,16,2368,0.256930412951992,132.349954466367,81.4560417501659,0.585885772004355,fold_01
L6,6,119282,0.0167862796515137,55.4970185166992,34.4990394051338,0.724699044504749,fold_01
L6,7,31910,-0.355125695110924,63.5805173181297,42.2553319770698,0.555692220709612,fold_01
L6,8,34811,0.241260522336282,70.1838245234961,43.6620762894145,0.430931603277145,fold_01
L0,1,182506,0.096607898171836,8.9594023196767,8.29856213431108,0.115753482761353,fold_02
L0,16,2343,0.0966663226897375,144.674841563154,109.931606071844,0.261879235106116,fold_02
L0,6,119811,0.171855356042357,50.9302370299269,43.8456411266528,0.0206191296252373,fold_02
L0,7,32241,0.0914222827521693,52.0703842046928,45.6183099029707,0.0958462910687404,fold_02
L0,8,34847,0.231816846012697,70.3913386594415,51.2042789125496,0.0421518426132138,fold_02
L1,1,182506,0.879936096534049,3.26623270931848,2.56091380370178,0.0264799121299512,fold_02
L1,16,2343,0.724315291974428,79.923639659618,59.5197070241447,0.234397528847972,fold_02
L1,6,119811,0.530209546249593,38.3596549938501,31.3762892132295,0.00792389919685428,fold_02
L1,7,32241,0.782919503588415,25.4518962578414,19.5127311662086,0.0489463056829156,fold_02
L1,8,34847,0.243649221110159,69.847113658975,50.87491867428,0.0419117754854766,fold_02
L2,1,182506,-0.51145872199996,11.5888152619202,8.00355340080266,0.592830468016462,fold_02
L2,16,2343,0.177478714105651,138.051931591231,90.4378718054616,0.481901379071453,fold_02
L2,6,119811,-0.0299536835246526,56.7977911263461,44.4407929005068,0.392912451848185,fold_02
L2,7,32241,-0.402072986744676,64.6837295116861,45.3227327236212,0.406676572229865,fold_02
