scenario,element,n,r2,rmse,residual_icc_protein,note
target_shuffle,1,545040,-0.522443045770631,11.6271063889449,0.640307404325451,
target_shuffle,6,358082,0.110453048041668,52.7173064396309,0.686224950573318,
target_shuffle,7,96248,-0.38252526498458,64.3513083972062,0.563258256492454,
target_shuffle,8,104039,0.258380078719068,69.3682575452222,0.399089585634002,
target_shuffle,16,7053,0.259441739542773,131.488723156561,0.539239336551315,
source_identity_shuffle,1,545040,-0.519440634109393,11.6156469262109,0.620370998401322,
source_identity_shuffle,6,358082,0.243159244548416,48.6036721025659,0.371959056241009,
source_identity_shuffle,7,96248,-0.391930246589495,64.570007979022,0.525309731525976,
source_identity_shuffle,8,104039,0.302284144891616,67.2835058771148,0.280182408915011,
source_identity_shuffle,16,7053,0.263701469674731,131.111140768415,0.567145127026757,
scrambled_physics,1,545040,-0.519444261606263,11.6156610926032,0.620369411098837,
scrambled_physics,6,358082,0.24321017775307,48.6020970454365,0.371955373068707,
scrambled_physics,7,96248,-0.391594412689651,64.562183681123,0.525014682934833,
scrambled_physics,8,104039,0.302219744822359,67.286594908258,0.280245097025451,
scrambled_physics,16,7053,0.263821459562528,131.100605302191,0.566814437134627,
self_bonded_excluded,1,545040,-0.523131544853407,11.6297406311243,0.641428379936959,
self_bonded_excluded,6,358082,0.107931718655486,52.791361224183,0.687576831725703,
self_bonded_excluded,7,96248,-0.382548289975386,64.3516587455041,0.564371937218672,
self_bonded_excluded,8,104039,0.254220745371771,69.5620980268799,0.410354525047661,
self_bonded_excluded,16,7053,0.262556282722905,131.210913021323,0.571827799967171,
sign_flip,1,,,,,no sign_flip_legal proxy columns declared by column_irrep_schema/null_spec
sign_flip,6,,,,,no sign_flip_legal proxy columns declared by column_irrep_schema/null_spec
sign_flip,7,,,,,no sign_flip_legal proxy columns declared by column_irrep_schema/null_spec
sign_flip,8,,,,,no sign_flip_legal proxy columns declared by column_irrep_schema/null_spec
sign_flip,16,,,,,no sign_flip_legal proxy columns declared by column_irrep_schema/null_spec
