dataset,element,n,mean,sd,min,max
1P9J,1,303404,28.052480722073483,2.426250096112484,15.7296666667,33.921
1P9J,6,211031,107.04638624499083,54.861829072185266,5.392,191.663
1P9J,7,54823,144.87326538739975,29.02516557098507,54.402,242.760333333
1P9J,8,60831,34.562950792633195,73.25216877063835,-100.964333333,352.234666667
1P9J,16,5257,545.6998970261859,54.32247795844734,356.767333333,704.205
720,1,241636,9.612621357409658,1.9042233857567068,-1.5480020807,23.2475427583
720,6,147051,38.94714943818961,23.761883322988638,-48.7990941705,93.3215377395
720,7,41425,49.63033455822978,26.037261671731976,-137.146232031,135.404337161
720,8,43208,12.205640250362412,88.18847646377579,-215.450330724,217.552428256
720,16,1796,217.24999612990888,51.645387964093786,98.2560209421,336.768049725
