BMRB_ID	PDB_ID	RESOLUTION	SEQ_IDENTITY	SEQ_LENGTH	SEQ_OFFSET	HA	CA	CB	CO	N	HN	AVG_CORR	HA_CORR	CA_CORR	CB_CORR	CO_CORR	N_CORR	HN_CORR	HA_RMSD	CA_RMSD	CB_RMSD	CO_RMSD	N_RMSD	HN_RMSD	HA_CSDIFF	CA_CSDIFF	CB_CSDIFF	CO_CSDIFF	N_CSDIFF	HN_CSDIFF
bmr5	1AHL_	NMR	100.0	48	0	1					1	0.731	0.731	N/A	N/A	N/A	N/A	N/A	0.205	N/A	N/A	N/A	N/A	N/A	-0.05	N/A	N/A	N/A	N/A	N/A
bmr8	1HC9A	1.80	96.0	75	0	1					1	0.825	0.901	N/A	N/A	N/A	N/A	0.748	0.131	N/A	N/A	N/A	N/A	0.285	-0.04	N/A	N/A	N/A	N/A	0.06
bmr29	1POH_	2.00	97.6	85	0	1					1	0.542	0.687	N/A	N/A	N/A	N/A	0.398	0.161	N/A	N/A	N/A	N/A	0.461	-0.04	N/A	N/A	N/A	N/A	0.02
bmr30	1HSTB	2.60	100.0	74	2	1					1	0.493	0.667	N/A	N/A	N/A	N/A	0.318	0.168	N/A	N/A	N/A	N/A	0.364	0.01	N/A	N/A	N/A	N/A	-0.07
bmr32	1L1MB	NMR	100.0	51	0	1					1	0.742	0.855	N/A	N/A	N/A	N/A	0.628	0.117	N/A	N/A	N/A	N/A	0.264	-0.01	N/A	N/A	N/A	N/A	-0.22
bmr42	1CHOI	1.80	100.0	53	3	1					1	0.791	0.841	N/A	N/A	N/A	N/A	0.742	0.125	N/A	N/A	N/A	N/A	0.306	-0.06	N/A	N/A	N/A	N/A	-0.12
bmr45	1P2OD	2.00	96.6	58	0	1					1	0.897	0.931	N/A	N/A	N/A	N/A	0.862	0.139	N/A	N/A	N/A	N/A	0.255	-0.03	N/A	N/A	N/A	N/A	0.04
bmr46	9PTI_	1.22	100.0	58	0	1	1	1				0.978	N/A	0.978	N/A	N/A	N/A	N/A	N/A	0.817	N/A	N/A	N/A	N/A	N/A	1.20	N/A	N/A	N/A	N/A
bmr48	9PTI_	1.22	96.4	56	2	1					1	0.877	0.925	0.000	0.000	0.000	0.000	0.830	0.160	0.000	0.000	0.000	0.000	0.287	0.04	0.00	0.00	0.00	0.00	0.08
bmr49	9PTI_	1.22	96.4	56	2						1	0.881	0.926	0.000	0.000	0.000	0.000	0.835	0.152	0.000	0.000	0.000	0.000	0.268	0.02	0.00	0.00	0.00	0.00	0.08
