structure_id,residues,atoms,afdb_accession
A0A062V9G2,48,732,
A0A075FL01,43,682,
A0A075FR84,43,634,
A0A075FUC0,43,735,
A0A075FUI5,48,785,
A0A075G2N9,50,783,
A0A075G604,39,652,
A0A075G8S5,49,740,
A0A075G9H6,44,717,
A0A075GBG4,42,699,
A0A075GBP5,45,765,
A0A075GJJ0,47,730,
A0A075GL14,47,730,
A0A075GNQ9,44,717,
A0A075GPI2,50,788,
A0A075GT79,44,717,
A0A075H126,44,759,
A0A075H1U6,43,684,
A0A075HED3,50,782,
A0A075HHM8,42,653,
A0A075HJ46,50,788,
A0A075HVM8,50,779,
A0A075I1Q2,42,694,
A0A075I3Q2,42,694,
A0A075I6E0,42,694,
A0A075I8Y7,42,694,
A0A075I9N7,48,727,
A0A075I9Q6,43,682,
A0A087RU44,24,381,
A0A087S4K0,42,742,
A0A0F2L3J9,44,650,
A0A0F8EH70,41,605,
A0A0F8MQP1,41,600,
A0A0U2L4M8,36,520,
A0A0U3H9J4,40,653,
A0A101DYV5,41,640,
A0A101DZD3,33,522,
A0A101E0G0,40,659,
A0A101GKX7,45,672,
A0A101GND4,29,429,
A0A101IR95,50,746,
A0A101ISX8,32,518,
A0A117LQ45,32,524,
A0A117MEV4,38,594,
A0A117MF79,47,765,
A0A124F7Z6,41,643,
A0A126QX97,44,669,
A0A139CG29,37,579,
A0A1C8ZW37,50,880,
A0A1G6L254,44,638,
A0A1G7QZ38,49,727,
A0A1H1EH39,50,884,
A0A1I0QAW8,50,868,
A0A1L3Q2M2,40,579,
A0A1L9C4R6,40,582,
A0A1Q9NRY5,50,834,
A0A1S6H833,45,742,
A0A1S6H9M5,49,877,
A0A1V4TPG4,39,555,
A0A1V4YX59,37,624,
A0A1V4Z9N6,35,534,
A0A219ANU8,34,475,
A0A284VNA8,40,648,
A0A285ESG6,41,681,
A0A285EYT8,40,582,
A0A2E0QIE5,39,603,
A0A2E4JTY0,44,793,
A0A2G1WNH3,48,750,
A0A2G9PKM8,45,690,
A0A2H9PSD1,30,489,
A0A2P0QLX2,36,552,
A0A2R4ZQL9,46,737,
A0A2R6C3Z5,38,602,
A0A2R6C5B4,46,734,
A0A2R6C8T4,42,592,
A0A2R6CA67,45,736,
A0A2R6CAA9,32,513,
A0A2R6D1W6,50,878,
A0A2R6EXE0,35,531,
A0A2R6LXP5,46,639,
A0A2R6MFM1,45,636,
A0A2R6MFZ7,48,786,
A0A2V3I199,27,388,
A0A2V3JFQ8,45,691,
A0A2V3JMT2,45,729,
A0A2V4GT18,42,608,
A0A2V4H8E0,44,702,
A0A345DZ50,50,879,
A0A367I6A3,42,664,
A0A371MR54,46,682,
A0A371MRP4,39,592,
A0A371MS07,43,690,
A0A371MSL8,44,629,
A0A371MTC3,40,632,
A0A3A5VK63,46,730,
A0A3A5VSI2,48,691,
A0A3A5W4U3,44,701,
A0A3A5WVH7,48,762,
A0A3M0CXD9,50,889,
A0A3M1LFP0,42,671,
A0A3M1LH11,34,537,
A0A3M1LHW0,33,497,
A0A3M1LK14,32,483,
A0A3M1LK61,47,790,
A0A3M1LLL7,50,823,
A0A3M1LN27,37,628,
A0A3M1LPS3,23,346,
A0A3M9LMY0,40,582,
A0A3M9ZV07,49,746,
A0A3M9ZZ00,41,659,
A0A3R7DRJ2,38,591,
A0A3R7VPW5,40,593,
A0A421DU79,49,764,
A0A432I0P7,43,668,
A0A432I6S4,40,625,
A0A495R914,39,728,
A0A495R9V0,41,625,
A0A497IHI4,28,423,
A0A497KMA1,38,573,
A0A497PY88,40,592,
A0A4U7F0R4,50,787,
A0A4U7F4A3,40,637,
A0A510DZD2,46,784,
A0A519BR66,47,749,
A0A519BS09,48,769,
A0A519BYY9,46,735,
A0A519C2G9,32,498,
A0A519CKS0,39,637,
A0A519CLK2,47,770,
A0A519CU77,40,693,
A0A520K3A4,50,762,
A0A520K6T6,37,530,
A0A520KLZ7,48,741,
A0A523ASN7,45,662,
A0A523AT74,43,682,
A0A523AVT4,47,706,
A0A523AYL0,46,728,
A0A523AYZ6,30,519,
A0A523BEK8,36,583,
A0A523SSL6,34,552,
A0A524FGV4,44,661,
A0A533U6D3,49,728,
A0A533UJM1,41,682,
A0A533UWQ2,46,717,
A0A533V157,36,567,
A0A533V2Q5,43,679,
A0A533V4X6,50,806,
A0A533V523,48,789,
A0A533VIP4,35,544,
A0A533VJR1,37,593,
A0A533VSR0,45,775,
A0A533VW71,41,600,
A0A533W8U5,27,394,
A0A533WKQ8,50,742,
A0A533WM15,49,751,
A0A533WMV9,41,685,
A0A533WY04,48,717,
A0A533WZX1,50,763,
A0A533X1P5,49,804,
A0A533XGD3,46,706,
A0A533XLT4,32,527,
A0A538P2N2,43,692,
A0A538P8P9,43,690,
A0A538P9J5,48,722,
A0A550D5K8,49,726,
A0A550GLI6,38,563,
A0A558GAE9,50,880,
A0A5C9ESF5,39,585,
A0A5E4HI60,44,701,
A0A5E4HJN0,39,656,
A0A5E4HP61,50,837,
A0A5E4I7H3,37,556,
A0A5E4IG34,38,593,
A0A5E4IH91,46,745,
A0A5E4IJB0,44,712,
A0A5E4ILE0,48,764,
A0A5E4ISJ4,39,628,
A0A5E4J1K7,37,668,
A0A5E4J7J9,47,750,
A0A5E4JHA9,49,840,
A0A5E4K421,32,548,
A0A5E4K5U7,46,671,
A0A5E4K9E0,41,710,
A0A5E4KHE1,42,638,
A0A5E4KT12,32,542,
A0A5E4L400,40,575,
A0A5E4LE60,44,785,
A0A5N5UDU8,50,869,
A0A660HR30,45,731,
A0A662PMX3,45,732,
A0A662PNS1,50,754,
A0A662PVT5,41,661,
A0A662PX72,47,756,
A0A662Q049,43,669,
A0A662Q1I9,41,649,
A0A662Q1V9,31,509,
A0A662Q584,43,719,
A0A662Q601,39,650,
A0A662QA52,46,745,
A0A662QCF6,41,662,
A0A662QCK9,45,757,
A0A662QEP8,41,643,
A0A662QXS3,38,552,
A0A662R080,25,408,
A0A662R097,35,521,
A0A662R0I2,41,663,
A0A662R243,44,695,
A0A662R2Z3,38,621,
A0A662R4C9,47,760,
A0A662R555,43,681,
A0A662RAM6,48,820,
A0A662RK02,37,530,
A0A662RTJ4,37,625,
A0A662RX65,34,553,
A0A662T3H2,44,690,
A0A662T6Q3,38,637,
A0A662T947,46,693,
A0A662UDV1,46,752,
A0A6A7LI12,43,661,
A0A6A7LI67,39,567,
A0A6A7LJ60,40,660,
A0A6A7LLL2,41,664,
A0A6A7LMN5,37,646,
A0A6A8AGZ0,33,486,
A0A6A8AI96,45,659,
A0A6A8AP17,39,602,
A0A6A9T401,46,701,
A0A6B0HK18,50,870,
A0A6B9QZA6,50,761,
A0A6G3LQ52,46,708,
A0A6V8C9N9,50,742,
A0A6V8CBP4,47,748,
A0A6V8CC87,40,605,
A0A6V8CDD8,50,761,
A0A6V8CLY9,43,636,
A0A6V8CMT5,49,697,
A0A6V8CMX5,47,700,
A0A6V8CN64,33,545,
A0A6V8CNG8,48,688,
A0A6V8CNU4,45,668,
A0A6V8CPX8,46,696,
A0A6V8CQS9,48,724,
A0A6V8CR43,36,563,
A0A6V8CTA7,43,671,
A0A6V8CUM7,49,763,
A0A6V8CZK2,34,503,
A0A6V8D2T6,49,705,
A0A6V8D831,50,716,
A0A6V8DL76,41,571,
A0A6V8DQK0,38,613,
A0A6V8DTT4,34,558,
A0A6V8DZ60,40,678,
A0A6V8E1N8,45,659,
A0A6V8E4D6,49,740,
A0A6V8E5D1,38,617,
A0A6V8E729,47,655,
A0A6V8ERQ8,42,635,
A0A6V8ESH0,41,597,
A0A6V8ESU9,42,645,
A0A6V8EWF7,47,787,
