protein_id,element,n_residues,moran_i,note
1P9J_5801,7,54,0.0359230065353681,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
1P9J_5801,1,54,0.0385857796090057,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
1P9J_5801,6,54,-0.0324910231367694,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
1P9J_5801,8,54,0.0851567045717401,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A062V9G2,7,48,0.0588325917875081,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A062V9G2,1,48,-0.136793187559576,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A062V9G2,6,48,-0.162053267883152,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A062V9G2,16,4,0.397123289583089,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A062V9G2,8,48,-0.175186280882519,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FL01,7,43,-0.00890042009286226,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FL01,1,43,0.0289511203802731,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FL01,6,43,-0.0115531790381075,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FL01,16,4,-0.874451672341079,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FL01,8,43,0.0857362235488964,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FR84,7,43,0.0300834118083773,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FR84,1,43,-0.0921021875343131,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FR84,6,43,-0.180345489124727,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FR84,16,1,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FR84,8,43,-0.0650245722787417,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FUC0,7,43,0.0023440921929603,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FUC0,1,43,-0.0538866856194168,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FUC0,6,43,-0.173383007649092,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FUC0,16,1,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FUC0,8,43,-0.744129163937438,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FUI5,7,48,-0.0150107060073187,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FUI5,1,48,0.13546811236543,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FUI5,6,48,0.304637050455358,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FUI5,16,1,,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075FUI5,8,48,-0.357768658150903,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G2N9,7,50,0.0254719234789499,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G2N9,1,50,0.0663691888920441,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G2N9,6,50,0.26613321292439,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G2N9,16,5,0.108272918150606,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G2N9,8,50,-0.11543352920337,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G604,7,39,0.135537780941642,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G604,1,39,-0.0843308526972433,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G604,6,39,0.096120486043924,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G604,16,3,-0.137209666104679,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G604,8,39,-0.336779302339352,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
A0A075G8S5,7,49,0.0620264768360122,sequence-adjacency Moran proxy; coordinate columns absent from row_design emit
