accession,model_entity_id,latest_version,mean_plddt,organism,tax_id,gene,description,uniprot_id,seq_length,cif_url
A0A062V9G2,AF-A0A062V9G2-F1,6,96.62,Candidatus Methanoperedens nitroreducens,1392998,ANME2D_01814,Uncharacterized protein,A0A062V9G2_9EURY,48,https://alphafold.ebi.ac.uk/files/AF-A0A062V9G2-F1-model_v6.cif
A0A075FL01,AF-A0A075FL01-F1,6,96.12,uncultured marine thaumarchaeote AD1000_01_A07,1455878,msrAB,peptide-methionine (R)-S-oxide reductase,A0A075FL01_9ARCH,43,https://alphafold.ebi.ac.uk/files/AF-A0A075FL01-F1-model_v6.cif
A0A075FR84,AF-A0A075FR84-F1,6,95.06,uncultured marine thaumarchaeote AD1000_40_H03,1455914,,Nucleoside-diphosphate-sugar epimerases,A0A075FR84_9ARCH,43,https://alphafold.ebi.ac.uk/files/AF-A0A075FR84-F1-model_v6.cif
A0A075FUC0,AF-A0A075FUC0-F1,6,95.25,uncultured marine thaumarchaeote AD1000_54_F06,1455925,,Uncharacterized protein,A0A075FUC0_9ARCH,43,https://alphafold.ebi.ac.uk/files/AF-A0A075FUC0-F1-model_v6.cif
A0A075FUI5,AF-A0A075FUI5-F1,6,95.69,uncultured marine thaumarchaeote AD1000_54_F06,1455925,,Uncharacterized protein,A0A075FUI5_9ARCH,48,https://alphafold.ebi.ac.uk/files/AF-A0A075FUI5-F1-model_v6.cif
A0A075G2N9,AF-A0A075G2N9-F1,6,96.81,uncultured marine thaumarchaeote KM3_02_H10,1455957,msrB,peptide-methionine (R)-S-oxide reductase,A0A075G2N9_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A075G2N9-F1-model_v6.cif
A0A075G604,AF-A0A075G604-F1,6,95.75,uncultured marine thaumarchaeote KM3_103_A05,1455980,,Anthranilate/para-aminobenzoate synthases component II,A0A075G604_9ARCH,39,https://alphafold.ebi.ac.uk/files/AF-A0A075G604-F1-model_v6.cif
A0A075G8S5,AF-A0A075G8S5-F1,6,96.75,uncultured marine thaumarchaeote KM3_131_F04,1456002,hisIE,phosphoribosyl-AMP cyclohydrolase,A0A075G8S5_9ARCH,49,https://alphafold.ebi.ac.uk/files/AF-A0A075G8S5-F1-model_v6.cif
A0A075G9H6,AF-A0A075G9H6-F1,6,95.88,uncultured marine thaumarchaeote KM3_136_D12,1456005,,"Transcription factor, NikR",A0A075G9H6_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A075G9H6-F1-model_v6.cif
A0A075GBG4,AF-A0A075GBG4-F1,6,95.25,uncultured marine thaumarchaeote KM3_103_A05,1455980,trpG,Glutamine amidotransferase of anthranilate synthase (TrpG),A0A075GBG4_9ARCH,42,https://alphafold.ebi.ac.uk/files/AF-A0A075GBG4-F1-model_v6.cif
A0A075GBP5,AF-A0A075GBP5-F1,6,95.5,uncultured marine thaumarchaeote KM3_105_E03,1455981,,Nucleotidyl transferase domain-containing protein,A0A075GBP5_9ARCH,45,https://alphafold.ebi.ac.uk/files/AF-A0A075GBP5-F1-model_v6.cif
A0A075GJJ0,AF-A0A075GJJ0-F1,6,95.5,uncultured marine thaumarchaeote KM3_172_D05,1456048,,Uncharacterized protein,A0A075GJJ0_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A075GJJ0-F1-model_v6.cif
A0A075GL14,AF-A0A075GL14-F1,6,95.19,uncultured marine thaumarchaeote KM3_157_H08,1456023,,Uncharacterized protein,A0A075GL14_9ARCH,47,https://alphafold.ebi.ac.uk/files/AF-A0A075GL14-F1-model_v6.cif
A0A075GNQ9,AF-A0A075GNQ9-F1,6,95.94,uncultured marine thaumarchaeote KM3_183_D02,1456068,,Transcription factor NikR nickel binding C-terminal domain-containing protein,A0A075GNQ9_9ARCH,44,https://alphafold.ebi.ac.uk/files/AF-A0A075GNQ9-F1-model_v6.cif
A0A075GPI2,AF-A0A075GPI2-F1,6,96.5,uncultured marine thaumarchaeote KM3_177_D01,1456059,msrB,peptide-methionine (R)-S-oxide reductase,A0A075GPI2_9ARCH,50,https://alphafold.ebi.ac.uk/files/AF-A0A075GPI2-F1-model_v6.cif
